v_individual_id	t_hunting_year	v_age	v_year_birth	v_sex	pvarV1	pvarV2
103	2008_2009	0	2008	male	0.585	0.576
110	2008_2009	0	2008	male	0.078	0.063
111	2009_2010	2	2007	male	0.124	0.579
1115	2013_2014	0	2013	male	0.572	0.568
112	2009_2010	2	2007	female	0.585	0.579
1161	2013_2014	5	2008	female	0.569	0.575
1162	2013_2014	2	2011	male	0.036	0.027
1163	2013_2014	3	2010	male	0.57	0.568
1164	2013_2014	3	2010	male	0.587	0.563
1168	2013_2014	0	2013	male	0.578	0.57
1172	2013_2014	0	2013	female	0.572	0.571
1174	2013_2014	0	2013	female	0.572	0.562
1176	2012_2013	6	2006	female	0.582	0.587
1177	2013_2014	4	2009	female	0.573	0.569
1178	2013_2014	5	2008	male	0.017	0.116
1182	2012_2013	3	2009	female	0.587	0.57
1183	2013_2014	0	2013	male	0.567	0.569
1185	2013_2014	1	2012	female	0.574	0.587
1188	2013_2014	0	2013	NA	0.577	0.558
119	2009_2010	2	2007	male	0.588	0.58
1190	2013_2014	0	2013	male	0.57	0.566
1191	2013_2014	0	2013	male	0.571	0.571
1195	2013_2014	3	2010	female	0.577	0.566
1198	2013_2014	0	2013	female	0.57	0.578
120	2009_2010	2	2007	female	0.595	0.575
121	2008_2009	1	2007	male	0.025	0.005
1210	2014_2015	3	2011	female	0.574	0.572
1216	2013_2014	0	2013	male	0.576	0.564
1220	2013_2014	1	2012	female	0.579	0.578
1225	2013_2014	1	2012	male	0.572	0.592
1229	2013_2014	5	2008	female	0.561	0.142
1233	2013_2014	2	2011	female	0.569	0.577
1243	2013_2014	2	2011	female	0.57	0.566
1271	2013_2014	2	2011	male	0.571	0.57
1273	2013_2014	8	2005	female	0.58	0.567
1277	2013_2014	5	2008	male	0.57	0.584
1278	2013_2014	0	2013	female	0.133	0.045
1279	2013_2014	5	2008	female	0.571	0.587
1330	2013_2014	1	2012	female	0.574	0.583
1331	2014_2015	0	2014	male	0.574	0.603
1332	2014_2015	0	2014	male	0.577	0.039
1333	2014_2015	0	2014	female	0.577	0.601
1334	2014_2015	0	2014	female	0.573	0.159
1343	2014_2015	3	2011	male	0.581	0.584
1344	2014_2015	0	2014	female	0.573	0.601
1345	2014_2015	4	2010	female	0.576	0.563
1350	2013_2014	5	2008	male	0.565	0.582
1354	2014_2015	2	2012	female	0.114	0.069
1356	2014_2015	2	2012	female	0.57	0.585
1362	2014_2015	2	2012	female	0.051	0.086
2005_01	2004_2005	2	2002	male	0.563	0.548
2005_02	2004_2005	2	2002	male	0.558	0.561
2005_03	2004_2005	2	2002	male	0.558	0.552
2005_04	2004_2005	2	2002	female	0.559	0.548
2005_05	2004_2005	1	2003	female	0.552	0.562
2005_10	2004_2005	2	2002	female	0.556	0.557
2005_101	2005_2006	7	1998	female	0.548	NA
2005_102	2004_2005	6	1998	male	0.554	NA
2005_103	2004_2005	1	2003	female	0.055	0.061
2005_105	2005_2006	5	2000	male	0.056	0.137
2005_108	2005_2006	0	2005	female	0.559	0.576
2005_116	2005_2006	0	2005	male	0.552	0.573
2005_117	2005_2006	1	2004	male	0.024	0.1
2005_124	2005_2006	0	2005	female	0.553	0.575
2005_136	2005_2006	0	2005	male	0.549	0.572
2005_141	2005_2006	3	2002	female	0.094	0.089
2005_19	2004_2005	5	1999	female	0.003	NA
2005_26	2004_2005	6	1998	female	0.557	NA
2005_27	2004_2005	0	2004	female	0.557	0.556
2005_39	2004_2005	2	2002	male	0.554	0.547
2005_43	2004_2005	2	2002	female	0.553	0.559
2005_46	2004_2005	2	2002	male	0.556	0.552
2005_49	2004_2005	5	1999	male	0.005	NA
2005_50	2004_2005	2	2002	male	0.553	0.555
2005_51	2004_2005	4	2000	male	0.007	0.061
2005_54	2004_2005	3	2001	female	0.554	0.581
2005_55	2004_2005	4	2000	male	0.558	0.604
2005_56	2004_2005	2	2002	female	0.557	0.552
