year	age0	age1	age2	age3	age4	pData
2004	6	11	17	4	10	0.979591836734694
2005	26	5	10	10	7	0.852941176470588
2006	26	11	3	7	10	1
2007	35	8	6	0	5	1
2008	22	17	8	2	6	0.964912280701754
2009	4	3	7	1	3	0.545454545454545
2010	52	9	6	6	5	0.838709677419355
2011	64	27	3	2	3	0.831932773109244
2012	3	14	3	1	3	0.180451127819549
2013	5	6	12	4	7	0.472222222222222
2014	12	1	3	4	3	0.377049180327869
2015	19	8	2	1	7	0.381443298969072
2016	9	11	4	0	2	0.211382113821138
2017	4	5	11	1	1	0.372881355932203
2018	18	1	2	3	2	0.216666666666667
