P1	P1_age	foxyear	julian	type	repryear
2	2	2009	44	pl.scars	2009
4	1	2008	44	pl.scars	2008
4	5	2013	9	pl.scars	2013
3	6	2012	142	pl.scars	2012
3	4	2013	311	pl.scars	2013
6	5	2013	37	pl.scars	2013
5	2	2013	32	pl.scars	2013
3	8	2013	48	pl.scars	2013
4	1	2013	97	pl.scars	2013
6	4	2014	181	pl.scars	2014
3	2	2014	235	pl.scars	2014
3	2	2009	66	pl.scars	2009
6	4	2010	39	pl.scars	2010
5	1	2010	323	pl.scars	2010
4	6	2015	79	pl.scars	2015
3	2	2015	73	pl.scars	2015
10	4	2015	79	pl.scars	2015
2	1	2015	52	pl.scars	2015
6	2	2015	56	pl.scars	2015
6	8	2010	324	pl.scars	2010
5	5	2010	NA	pl.scars	2010
8	7	2010	NA	pl.scars	2010
5	2	2010	50	pl.scars	2010
1	5	2015	67	pl.scars	2015
5	7	2005	201	pl.scars	2005
5	5	2005	295	pl.scars	2005
5	3	2005	295	pl.scars	2005
7	3	2005	195	pl.scars	2005
3	3	2005	329	pl.scars	2005
5	2	2005	320	pl.scars	2005
4	3	2005	294	pl.scars	2005
5	3	2005	257	pl.scars	2005
4	2	2005	250	pl.scars	2005
4	2	2004	91	pl.scars	2004
4	2	2004	103	pl.scars	2004
4	1	2004	92	pl.scars	2004
6	3	2004	89	pl.scars	2004
3	2	2005	111	pl.scars	2005
4	1	2006	348	pl.scars	2006
4	3	2006	324	pl.scars	2006
1	5	2006	96	pl.scars	2006
4	5	2005	24	pl.scars	2005
4	2	2006	231	pl.scars	2006
5	3	2005	210	pl.scars	2005
4	2	2006	204	pl.scars	2006
3	1	2006	195	pl.scars	2006
5	3	2006	313	pl.scars	2006
4	2	2005	60	pl.scars	2005
2	4	2005	52	pl.scars	2005
7	2	2006	252	pl.scars	2006
4	5	2005	88	pl.scars	2005
4	3	2005	88	pl.scars	2005
5	5	2005	82	pl.scars	2005
3	2	2004	71	pl.scars	2004
4	3	2005	67	pl.scars	2005
5	3	2005	57	pl.scars	2005
4	1	2005	45	pl.scars	2005
6	2	2005	66	pl.scars	2005
3	3	2005	79	pl.scars	2005
5	3	2006	41	pl.scars	2006
7	3	2006	62	pl.scars	2006
5	3	2007	199	pl.scars	2007
4	0	2007	NA	pl.scars	2007
4	5	2006	59	pl.scars	2006
6	1	2006	70	pl.scars	2006
5	2	2006	34	pl.scars	2006
7	10	2007	287	pl.scars	2007
5	1	2007	265	pl.scars	2007
6	5	2007	244	pl.scars	2007
4	1	2007	347	pl.scars	2007
7	4	2006	64	pl.scars	2006
5	2	2007	271	pl.scars	2007
7	2	2006	53	pl.scars	2006
6	4	2006	43	pl.scars	2006
7	4	2006	52	pl.scars	2006
3	3	2006	64	pl.scars	2006
1	8	2006	25	pl.scars	2006
6	3	2006	46	pl.scars	2006
3	6	2006	53	pl.scars	2006
