"Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Lambda~N",18,-0.41377547740958,-0.520468988544343,-0.44557153955879,-0.384062210535501,-0.317367673181281,"**"
"Harvest~N",18,-0.14962017727368,-0.463207836477006,-0.26547024250483,-0.0274203300511385,0.214870241585642,"*"
"Nat.mort~N",18,0.441904324436629,0.144245406898583,0.348456973109028,0.532112772523881,0.681751636571265,"**"
"Immigration~N",18,-0.211464864882319,-0.44631413436762,-0.303773692348344,-0.110026113912807,0.0977115397268836,"*"
"Breeding~N",18,0.235968983628602,-0.0521331959734475,0.137386474988209,0.33044947716519,0.487407822951946,"*"
"Litter~N",18,0.0636273494223215,-0.291435468348951,-0.0639564007908826,0.191750522124402,0.408260792573444,"-"
"Harvest~Nat.mort",18,-0.175595791736941,-0.48037389564548,-0.285074506845222,-0.0554087640187026,0.193801503606022,"*"
"Harvest~Imm",18,-0.0941057255105473,-0.37907872907969,-0.200515367943787,0.0326904819205235,0.330094566436601,"-"
"Harvest~Imm[t+1]",18,-0.0223504329980184,-0.34920870859158,-0.14129961701948,0.106421301590325,0.384668641755917,"-"
"Harvest~Nat.mort[t+1]",18,-0.13689799829892,-0.479752329421964,-0.264754048279567,0.00442056414031091,0.291783658050256,"-"
"Nat.mort~Imm",18,-0.239416218167927,-0.639943085847354,-0.405010509739087,-0.0254346653639587,0.395004485261414,"*"
"Harvest~Reproduction",18,0.0347242168089124,-0.294048746398981,-0.079956886693379,0.156527534675294,0.403150082830294,"-"
"Nat.mort~Reproduction",18,-0.487889732297344,-0.835986646564889,-0.636250055266953,-0.335118640594042,-0.0420728097647048,"**"
