year	Llem	Mruf	Moec	vole	tot	cat2	cat3
2004	0.010204082	0.765306122	0.193877551	0.959183673	0.969387755	0	0
2005	0.057471264	0.82183908	0.609195402	1.471264368	1.528735632	0	1
2006	0.155172414	1.41954023	1.040229885	2.459770115	2.614942529	1	1
2007	0.810344828	1.189655172	1.356321839	2.545977011	3.356321839	1	2
2008	0.005747126	0.022988506	0.017241379	0.040229885	0.045977011	0	0
2009	0.011494253	0.08045977	0.057471264	0.137931034	0.149425287	0	0
2010	0.172413793	0.695402299	1.91954023	2.655172414	2.827586207	1	1
2011	0.971264368	1.229885057	3.902298851	5.189655172	6.16091954	1	2
2012	0.005747126	0.867816092	0.413793103	1.293103448	1.298850575	0	0
2013	0.005747126	0.810344828	0.609195402	1.425287356	1.431034483	0	0
2014	0.011494253	1.747126437	1.511494253	3.270114943	3.281609195	1	1
2015	0.005747126	2.24137931	1.890804598	4.195402299	4.201149425	1	2
2016	0	1.005747126	0.408045977	1.413793103	1.413793103	0	0
2017	0	0.137142857	0.2	0.342857143	0.342857143	0	0
2018	0.166666667	0.798850575	2.74137931	3.551724138	3.718390805	1	1
2019	0.051724138	1.270114943	1.626436782	2.913793103	2.965517241	1	1
2020	0.037234043	0.478723404	0.377659574	0.867021277	0.904255319	0	0
