"Parameter","Year","Age","ParamName","median","lCI","uCI"
"B.tot[10]",2013,NA,"B.tot",140,67,345.024999999998
"B.tot[11]",2014,NA,"B.tot",130,72,274
"B.tot[12]",2015,NA,"B.tot",160,93,341
"B.tot[13]",2016,NA,"B.tot",234,137,494
"B.tot[14]",2017,NA,"B.tot",191,106,390
"B.tot[15]",2018,NA,"B.tot",183,107,364
"B.tot[16]",2019,NA,"B.tot",191,112,395
"B.tot[17]",2020,NA,"B.tot",121,60,293
"B.tot[18]",2021,NA,"B.tot",89,45,202
"B.tot[19]",2022,NA,"B.tot",87,43,190
"B.tot[1]",2004,NA,"B.tot",0,0,0
"B.tot[20]",2023,NA,"B.tot",156,72,380
"B.tot[21]",2024,NA,"B.tot",134,47,339
"B.tot[2]",2005,NA,"B.tot",125,74,265
"B.tot[3]",2006,NA,"B.tot",116,67,248
"B.tot[4]",2007,NA,"B.tot",96,48,224
"B.tot[5]",2008,NA,"B.tot",174,99,380
"B.tot[6]",2009,NA,"B.tot",103,56,214
"B.tot[7]",2010,NA,"B.tot",83,48,162
"B.tot[8]",2011,NA,"B.tot",239,145,491
"B.tot[9]",2012,NA,"B.tot",397,239,841
"B[1, 10]",2013,"0","B",0,0,0
"B[1, 11]",2014,"0","B",0,0,0
"B[1, 12]",2015,"0","B",0,0,0
"B[1, 13]",2016,"0","B",0,0,0
"B[1, 14]",2017,"0","B",0,0,0
"B[1, 15]",2018,"0","B",0,0,0
"B[1, 16]",2019,"0","B",0,0,0
"B[1, 17]",2020,"0","B",0,0,0
"B[1, 18]",2021,"0","B",0,0,0
"B[1, 19]",2022,"0","B",0,0,0
"B[1, 1]",2004,"0","B",0,0,0
"B[1, 20]",2023,"0","B",0,0,0
"B[1, 21]",2024,"0","B",0,0,0
"B[1, 2]",2005,"0","B",0,0,0
"B[1, 3]",2006,"0","B",0,0,0
"B[1, 4]",2007,"0","B",0,0,0
"B[1, 5]",2008,"0","B",0,0,0
"B[1, 6]",2009,"0","B",0,0,0
"B[1, 7]",2010,"0","B",0,0,0
"B[1, 8]",2011,"0","B",0,0,0
"B[1, 9]",2012,"0","B",0,0,0
"B[2, 10]",2013,"1","B",12,3,39
"B[2, 11]",2014,"1","B",10,2,32
"B[2, 12]",2015,"1","B",61,28,133
"B[2, 13]",2016,"1","B",118,60,261
"B[2, 14]",2017,"1","B",28,10,68
"B[2, 15]",2018,"1","B",28,10,69
"B[2, 16]",2019,"1","B",64.5,26,158
"B[2, 17]",2020,"1","B",39,15,100
"B[2, 18]",2021,"1","B",15,4,38
"B[2, 19]",2022,"1","B",23,8,55
"B[2, 1]",2004,"1","B",0,0,0
"B[2, 20]",2023,"1","B",85,34,219
"B[2, 21]",2024,"1","B",48,11,138
"B[2, 2]",2005,"1","B",9,2,22
"B[2, 3]",2006,"1","B",33,15,75
"B[2, 4]",2007,"1","B",30,11,75
"B[2, 5]",2008,"1","B",86,44,186
"B[2, 6]",2009,"1","B",17,5,45
"B[2, 7]",2010,"1","B",17,6,40
"B[2, 8]",2011,"1","B",158,92,323
"B[2, 9]",2012,"1","B",229,130,474
"B[3, 10]",2013,"2","B",64,26,174
"B[3, 11]",2014,"2","B",17,6,46
"B[3, 12]",2015,"2","B",13,4,37
"B[3, 13]",2016,"2","B",51,24,115
"B[3, 14]",2017,"2","B",91,45,196
"B[3, 15]",2018,"2","B",31,13,72
"B[3, 16]",2019,"2","B",25,9,63
"B[3, 17]",2020,"2","B",27,9,86
"B[3, 18]",2021,"2","B",29,11,75
"B[3, 19]",2022,"2","B",14,5,37
"B[3, 1]",2004,"2","B",0,0,0
"B[3, 20]",2023,"2","B",24,8,62
"B[3, 21]",2024,"2","B",46,14,130
"B[3, 2]",2005,"2","B",31,14,72
"B[3, 3]",2006,"2","B",9,3,22
"B[3, 4]",2007,"2","B",22,9,57
"B[3, 5]",2008,"2","B",36,17,88
"B[3, 6]",2009,"2","B",43,20,101
"B[3, 7]",2010,"2","B",14,5,34
"B[3, 8]",2011,"2","B",25,12,60
"B[3, 9]",2012,"2","B",110,59,255
"B[4, 10]",2013,"3","B",39,16,102
"B[4, 11]",2014,"3","B",60,30,137
"B[4, 12]",2015,"3","B",15,5,42
"B[4, 13]",2016,"3","B",9,2,27
"B[4, 14]",2017,"3","B",33,15,75
"B[4, 15]",2018,"3","B",76,40,161
"B[4, 16]",2019,"3","B",22,10,54
"B[4, 17]",2020,"3","B",11,3,34
"B[4, 18]",2021,"3","B",17,5,49
"B[4, 19]",2022,"3","B",22,8,55
"B[4, 1]",2004,"3","B",0,0,0
"B[4, 20]",2023,"3","B",11,3,33
"B[4, 21]",2024,"3","B",13,3,37
"B[4, 2]",2005,"3","B",47,25,108
"B[4, 3]",2006,"3","B",23,11,56
"B[4, 4]",2007,"3","B",5,1,15
"B[4, 5]",2008,"3","B",20,9,50
"B[4, 6]",2009,"3","B",17,7,40
"B[4, 7]",2010,"3","B",28,14,62
"B[4, 8]",2011,"3","B",15,6,37
"B[4, 9]",2012,"3","B",18,8,45
"B[5, 10]",2013,"4+","B",22,9,53
"B[5, 11]",2014,"4+","B",41,20,86
"B[5, 12]",2015,"4+","B",70,38,157
"B[5, 13]",2016,"4+","B",55,28,124
"B[5, 14]",2017,"4+","B",36,17,78
"B[5, 15]",2018,"4+","B",47,25,92
"B[5, 16]",2019,"4+","B",78,45,154
"B[5, 17]",2020,"4+","B",42,19,97
